"read_count(G)"	"read_count(NW)"	"read_count(S)"
"PdomMRNA08079.1"	349.4	225.8	209.25
"PdomMRNA08080.1"	167	239.8	163
"PdomMRNA08081.1"	18315.6	11553.2	9437
"PdomMRNA08082.1"	1058	794	815.5
"PdomMRNA08083.1"	63	90.4	78
"PdomMRNA08084.1"	269.6	280.6	184.75
"PdomMRNA08085.1"	442.6	315.6	355.75
"PdomMRNA08086.1"	255.4	90.8	131.25
"PdomMRNA08087.1"	545.4	385.6	397.5
"PdomMRNA08088.1"	599.2	389.4	390
"PdomMRNA08090.1"	1542.8	1062.4	1050.25
"PdomMRNA08091.1"	5238.8	3257.4	4001
"PdomMRNA08092.1"	2859.6	1551	2426
"PdomMRNA08093.1"	300.2	171.8	174.5
"PdomMRNA08094.1"	1361.4	890.8	854.25
"PdomMRNA08095.1"	2767.2	1953.4	2086.75
"PdomMRNA08096.1"	667	356.4	501.5
"PdomMRNA08097.1"	964.6	697.6	656.75
"PdomMRNA08098.1"	2202.8	1648	1702.75
"PdomMRNA08103.1"	513.2	342.8	352.75
"PdomMRNA08104.1"	243	177.6	204.75
"PdomMRNA08105.1"	548	433.6	450.75
"PdomMRNA08106.1"	268.6	232.8	249
"PdomMRNA08107.1"	6345	3791.2	4073.25
"PdomMRNA08108.1"	2014.4	1018.6	1080.75
"PdomMRNA08109.1"	270	196	224.25
"PdomMRNA08111.1"	405	188.4	202
"PdomMRNA08112.1"	844.4	602.6	637
"PdomMRNA08113.1"	141.8	81	67
"PdomMRNA08114.1"	391.2	246.4	319.5
"PdomMRNA08116.1"	144	75.8	70.25
"PdomMRNA08117.1"	3238.6	1779	1936
"PdomMRNA08118.1"	1398.2	942.6	911.5
"PdomMRNA08119.1"	69.4	54	80
"PdomMRNA08120.1"	275	180.2	233.25
"PdomMRNA08121.1"	636.2	503.8	467
"PdomMRNA08122.1"	3200.4	2123.6	2633.75
"PdomMRNA08123.1"	540.4	317.4	316.25
"PdomMRNA08124.1"	137.6	73	107
"PdomMRNA08126.1"	4544.4	2851.4	3057.25
"PdomMRNA08127.1"	644.2	402.2	396.75
"PdomMRNA08128.1"	367.2	243	231.25
"PdomMRNA08131.1"	965.6	700.2	655.5
"PdomMRNA08132.1"	361.2	206.8	232.5
"PdomMRNA08134.1"	8187	5628.6	5633.5
"PdomMRNA08135.1"	39.4	31	18
"PdomMRNA08136.1"	15.2	134.2	80.5
"PdomMRNA08138.1"	1255.6	797.4	801
"PdomMRNA08139.1"	57.6	43.8	40.25
"PdomMRNA08140.1"	314	223.4	182.5
"PdomMRNA08141.1"	2089.2	1194.8	1403.75
"PdomMRNA08142.1"	571.8	337.4	348.5
"PdomMRNA08143.1"	1094	748	845.75
"PdomMRNA08144.1"	2847.8	1718.2	1910.5
"PdomMRNA08145.1"	16764.2	10473.6	11311.5
"PdomMRNA08146.1"	943.4	569.2	561.25
"PdomMRNA08147.1"	4864.6	2163.4	2470.25
"PdomMRNA08148.1"	10597.6	6710.6	7558.25
"PdomMRNA08149.1"	140.4	188	152.25
"PdomMRNA08150.1"	308.2	200.8	164.75
"PdomMRNA08158.1"	1240.8	824.2	918.75
"PdomMRNA08159.1"	1556.8	1189.4	1232.75
"PdomMRNA08160.1"	720.4	478.8	494.5
"PdomMRNA08161.1"	5236.2	3941.2	3645.75
"PdomMRNA08162.1"	819.6	674.2	658.25
"PdomMRNA08163.1"	3259	2741.6	2940.5
"PdomMRNA08164.1"	1709	1140.2	1056
"PdomMRNA08165.1"	49.8	34.4	24
"PdomMRNA08166.1"	77.6	86.6	48
"PdomMRNA08168.1"	1362.4	973.2	1070
"PdomMRNA08169.1"	84.6	49.2	70.25
"PdomMRNA08170.1"	469.8	287.2	275.25
"PdomMRNA08171.1"	3085	1881.8	1764.75
"PdomMRNA08172.1"	6021.8	3469.6	4255.25
"PdomMRNA08173.1"	571.6	401.8	377.5
"PdomMRNA08174.1"	5563	2385.2	2291.25
"PdomMRNA08175.1"	10419.2	5461.2	6601.75
"PdomMRNA08176.1"	2714.4	1456.8	1339.5
"PdomMRNA08177.1"	143	131.4	108.5
"PdomMRNA08178.1"	1624.8	940.2	971
"PdomMRNA08179.1"	1883.8	1203	1059.75
"PdomMRNA08180.1"	161	105.6	95.75
"PdomMRNA08185.1"	4769	3227.6	3237.75
"PdomMRNA08186.1"	41275.2	24183.4	27091.5
"PdomMRNA08187.1"	3524.4	2491.2	2595.5
"PdomMRNA08188.1"	6025.8	3859.2	4071.25
"PdomMRNA08189.1"	597.4	327.4	312.25
"PdomMRNA08192.1"	147.8	110	100
"PdomMRNA08194.1"	551.4	378.6	449
"PdomMRNA08195.1"	681.2	474	492.5
"PdomMRNA08196.1"	523.6	375.4	324
"PdomMRNA08197.1"	1474.4	951.8	1024
"PdomMRNA08198.1"	3528.4	3056.2	2535.5
"PdomMRNA08199.1"	283.8	210.4	177
"PdomMRNA08200.1"	1916.2	1327.2	1366.25
"PdomMRNA08201.1"	990.4	666	747.25
"PdomMRNA08202.1"	2330.2	1558	1595.75
"PdomMRNA08203.1"	8316.8	6524.6	6169.5
"PdomMRNA08204.1"	1361.8	690.6	607.5
"PdomMRNA08205.1"	874.4	699.4	667.75
"PdomMRNA08206.1"	99.8	95.2	83
"PdomMRNA08207.1"	228.6	232.6	268.25
"PdomMRNA08208.1"	588.8	439.6	463.25
"PdomMRNA08209.1"	168.8	158	175.75
"PdomMRNA08211.1"	2157.6	1465.6	1501.25
"PdomMRNA08212.1"	890.6	635.8	674
"PdomMRNA08213.1"	1476.6	1057	1038.25
"PdomMRNA08214.1"	3688.8	1906.8	3718
"PdomMRNA08215.1"	954.2	622	612.25
"PdomMRNA08216.1"	4366.8	2191	2445.75
"PdomMRNA08217.1"	1393.6	977.6	1193
"PdomMRNA08218.1"	1411	906.4	913.75
"PdomMRNA08219.1"	5824.8	3321.6	4812.25
"PdomMRNA08220.1"	1182.8	903.6	847.75
"PdomMRNA08221.1"	742.4	572	646.25
"PdomMRNA08222.1"	3215	2513.4	2357
"PdomMRNA08223.1"	3698.8	2268.2	2544.75
"PdomMRNA08224.1"	1801	938.4	939.5
"PdomMRNA08225.1"	4271	3213.6	3075.75
"PdomMRNA08226.1"	4730.4	3041.6	3206.75
"PdomMRNA08227.1"	24752.6	18743.8	18197.75
"PdomMRNA08228.1"	542.6	368.2	450.25
"PdomMRNA08229.1"	90	62.2	72.25
"PdomMRNA08232.1"	1286.6	897.6	925
"PdomMRNA08233.1"	282.6	246.8	166.75
"PdomMRNA08235.1"	49987.6	22046.4	25572.5
"PdomMRNA08236.1"	93	100.2	125.5
"PdomMRNA08237.1"	215.2	168	121.5
"PdomMRNA08239.1"	373.6	183.4	222
"PdomMRNA08240.1"	238.6	167	163
"PdomMRNA08241.1"	3871.2	2806.4	3021
"PdomMRNA08243.1"	1109.2	699	694
"PdomMRNA08245.1"	535	211.2	218
"PdomMRNA08246.1"	409	253.2	241.25
"PdomMRNA08247.1"	86.8	48.6	117
"PdomMRNA08248.1"	492	295	260.25
"PdomMRNA08249.1"	1456.2	1075.4	1317.25
"PdomMRNA08251.1"	1500.2	1060.2	1087
"PdomMRNA08252.1"	5113.2	3663	3529.5
"PdomMRNA08253.1"	10947	7435.2	8702.25
"PdomMRNA08254.1"	1470.4	886.8	802.75
"PdomMRNA08256.1"	125	96.4	67
"PdomMRNA08257.1"	526.4	273.8	284.75
"PdomMRNA08258.1"	980.8	657	667.75
"PdomMRNA08259.1"	3176.4	2534.8	2825
"PdomMRNA08260.1"	696.2	525.2	487
"PdomMRNA08262.1"	1166.8	980.2	911.25
"PdomMRNA08263.1"	535.6	473.2	395
"PdomMRNA08265.1"	243.8	111.6	156.75
"PdomMRNA08266.1"	3931.4	2540.2	2323
"PdomMRNA08267.1"	121.6	88.6	107
"PdomMRNA08268.1"	611.6	492.8	525.5
"PdomMRNA08269.1"	3551	2190.4	2283.25
"PdomMRNA08270.1"	3720.8	1450.2	1617.25
"PdomMRNA08271.1"	2807.2	1779	1931.5
"PdomMRNA08273.1"	2143	1187.8	1245
"PdomMRNA08274.1"	977.6	634.4	647.75
"PdomMRNA08275.1"	1267.8	885.8	791
"PdomMRNA08277.1"	400	259.8	262.5
"PdomMRNA08278.1"	201.6	165.8	100.25
"PdomMRNA08279.1"	4267.4	2288.8	2559
"PdomMRNA08280.1"	1352	681.2	908.75
"PdomMRNA08281.1"	1749.8	752.6	935.75
"PdomMRNA08282.1"	652.6	271.6	323
"PdomMRNA08283.1"	50.2	39.4	24.5
"PdomMRNA08284.1"	517.2	313.6	357.75
"PdomMRNA08286.1"	798.8	847.8	774
"PdomMRNA08287.1"	2279.2	1915.8	1798
"PdomMRNA08288.1"	9284.6	5986.4	6418
"PdomMRNA08289.1"	2648	1799.2	2108.75
"PdomMRNA08290.1"	2133.8	1386.6	1236
"PdomMRNA08292.1"	1626.6	1345	1164.75
"PdomMRNA08293.1"	706.6	406.8	578
"PdomMRNA08294.1"	235.4	186.4	143.5
"PdomMRNA08295.1"	536.4	331.8	326.75
"PdomMRNA08296.1"	1765	981.6	1261.75
"PdomMRNA08297.1"	74.2	34.8	43.5
"PdomMRNA08298.1"	941.2	639.8	649
"PdomMRNA08299.1"	5148	2875.2	3429.75
"PdomMRNA08300.1"	1244.2	824.8	938.75
"PdomMRNA08301.1"	646.8	465.8	527.5
"PdomMRNA08302.1"	621.8	539.8	514.75
"PdomMRNA08303.1"	917	500.4	544.75
"PdomMRNA08304.1"	5776.6	4115.6	4363.5
"PdomMRNA08306.1"	1580.4	1293.8	1254
"PdomMRNA08307.1"	698	502.4	588.5
"PdomMRNA08308.1"	152	141.2	83.75
"PdomMRNA08309.1"	6520.6	5798.6	4278.5
"PdomMRNA08310.1"	2262	1366.4	1482.5
"PdomMRNA08311.1"	722	596.6	465.5
"PdomMRNA08312.1"	2272.6	1415	1477
"PdomMRNA08313.1"	169	91	108.75
"PdomMRNA08314.1"	102	74.2	62.25
"PdomMRNA08316.1"	4369.6	3037.2	2652.5
"PdomMRNA08317.1"	4669.6	3205.8	3238.75
"PdomMRNA08318.1"	1762.8	1142.6	1408.5
"PdomMRNA08319.1"	40.8	26.4	43.5
"PdomMRNA08320.1"	701.8	370.6	398
"PdomMRNA08322.1"	2084.6	1295.8	1251.25
"PdomMRNA08324.1"	491	366	354.75
"PdomMRNA08325.1"	62071.2	30953.2	28605
"PdomMRNA08326.1"	634.2	405	435.5
"PdomMRNA08327.1"	1201.4	761.4	738.5
"PdomMRNA08328.1"	67.2	44	49.5
"PdomMRNA08330.1"	245.8	178	187.25
"PdomMRNA08332.1"	316	167.8	177.75
"PdomMRNA08333.1"	156	107	113.5
"PdomMRNA08336.1"	75.8	45.8	25.25
"PdomMRNA08337.1"	343	189.8	187.5
"PdomMRNA08338.1"	715.2	493	435.25
"PdomMRNA08339.1"	216.4	164.4	168.5
"PdomMRNA08340.1"	348	128.2	229
"PdomMRNA08341.1"	572.6	210.8	386
"PdomMRNA08342.1"	753.2	610.8	580.75
"PdomMRNA08343.1"	1270.6	1007	965.5
"PdomMRNA08344.1"	1251.2	758.8	663
"PdomMRNA08345.1"	12562.4	9422.2	9772.25
"PdomMRNA08346.1"	3662.2	2538.2	1964
"PdomMRNA08347.1"	2710.6	2006.2	1877.75
"PdomMRNA08348.1"	3429.4	2988.4	2899.75
"PdomMRNA08349.1"	275.8	175.2	172.25
"PdomMRNA08351.1"	164.2	71.6	73.5
"PdomMRNA08353.1"	1269.6	833.6	809
"PdomMRNA08355.1"	233.6	101.4	148.25
"PdomMRNA08356.1"	82.8	59.2	55
"PdomMRNA08357.1"	286	240	182.75
"PdomMRNA08358.1"	2363.2	1947	1669.75
"PdomMRNA08363.1"	15872.2	9167.6	10719.5
"PdomMRNA08364.1"	414.8	265.6	267
"PdomMRNA08366.1"	169793.6	75712.8	89179.75
"PdomMRNA08368.1"	2819	2182.8	1875.75
"PdomMRNA08369.1"	457.2	278.8	351.25
"PdomMRNA08370.1"	1954	1317.8	1363.5
"PdomMRNA08371.1"	127.4	58.2	48.75
"PdomMRNA08372.1"	3075.4	1602.4	1515
"PdomMRNA08373.1"	38.6	49.2	26
"PdomMRNA08375.1"	447.2	202	273
"PdomMRNA08377.1"	1376.4	405.2	440.25
"PdomMRNA08378.1"	4929.4	1577.4	3748
"PdomMRNA08379.1"	6668	3343.4	3927
"PdomMRNA08380.1"	883.8	437.8	678.25
"PdomMRNA08381.1"	318.2	170	144.75
"PdomMRNA08382.1"	15540	12465.6	11858.75
"PdomMRNA08384.1"	729	392.8	311
"PdomMRNA08390.1"	2418	1946	1966.5
"PdomMRNA08391.1"	13769	15793.8	18051
"PdomMRNA08392.1"	7085.4	4242.8	4656.5
"PdomMRNA08393.1"	439	354.6	307.25
"PdomMRNA08394.1"	713.2	425.2	449
"PdomMRNA08395.1"	2654.6	1865.2	1930.5
"PdomMRNA08396.1"	967.8	704.6	777.25
"PdomMRNA08397.1"	6819	4347.6	4188.25
"PdomMRNA08398.1"	1299.2	801	896.5
"PdomMRNA08399.1"	2504.4	1284.4	1530.5
"PdomMRNA08400.1"	841.6	603	650
"PdomMRNA08401.1"	121.4	90	65.25
"PdomMRNA08402.1"	16103.2	10630.4	13617.25
"PdomMRNA08403.1"	303.8	115.6	125.75
"PdomMRNA08404.1"	11672.4	6615.8	7770.5
"PdomMRNA08405.1"	421.6	298.6	329.75
"PdomMRNA08406.1"	2350.6	1748.4	1780.25
"PdomMRNA08407.1"	1281	1060.2	1060.5
"PdomMRNA08408.1"	515.2	242.2	299.5
"PdomMRNA08409.1"	3399.2	2227.4	2331.75
"PdomMRNA08410.1"	168.2	83.6	103.75
"PdomMRNA08411.1"	4616.8	2386.6	2544.25
"PdomMRNA08412.1"	2949.6	1956	2420.5
"PdomMRNA08417.1"	1165.2	655.8	635.75
"PdomMRNA08418.1"	1000.6	578.2	576
"PdomMRNA08419.1"	3688	2024.8	2112.25
"PdomMRNA08420.1"	354.4	212.8	258.75
"PdomMRNA08421.1"	971	603.6	586.75
"PdomMRNA08422.1"	992.8	603.2	706.75
"PdomMRNA08424.1"	786.6	474.6	544.75
"PdomMRNA08425.1"	690.6	445.2	427.75
"PdomMRNA08426.1"	1869.2	1172	1229.5
"PdomMRNA08427.1"	1516.4	1293.2	1457.25
"PdomMRNA08428.1"	359.2	519.2	403.25
"PdomMRNA08429.1"	1374.2	1165.2	977
"PdomMRNA08430.1"	2142.6	1601.6	1753.25
"PdomMRNA08431.1"	1972.8	1308	1168
"PdomMRNA08432.1"	5431.6	4002.2	4431
"PdomMRNA08433.1"	1756.4	1332	1293.5
"PdomMRNA08434.1"	287.4	182.6	136.25
"PdomMRNA08435.1"	1027	96.2	107
"PdomMRNA08436.1"	4499.6	2300.6	2420
"PdomMRNA08437.1"	4280.6	2236.6	2371.5
"PdomMRNA08438.1"	853.2	495.2	503
"PdomMRNA08439.1"	110	93	56.5
"PdomMRNA08440.1"	764.8	523.8	505.25
"PdomMRNA08441.1"	553.6	479	470.5
"PdomMRNA08442.1"	1420.6	1147	952.75
"PdomMRNA08443.1"	522.8	348.8	330.5
"PdomMRNA08444.1"	993.6	556.2	563
"PdomMRNA08445.1"	1497.8	831	710.75
"PdomMRNA08446.1"	4371.4	2960.2	3062.5
"PdomMRNA08447.1"	1804.4	1444	1412.75
"PdomMRNA08448.1"	1970.6	1192	1418.75
"PdomMRNA08449.1"	420	299.8	304.75
"PdomMRNA08450.1"	2278.6	2077.6	1869
"PdomMRNA08451.1"	8825.8	6832.4	6242
"PdomMRNA08452.1"	1620	1109	1155.75
"PdomMRNA08453.1"	1634	1210	1196.25
"PdomMRNA08454.1"	1588.8	1088.4	1060.5
"PdomMRNA08455.1"	445.8	317.8	283
"PdomMRNA08456.1"	781.8	472.8	470.75
"PdomMRNA08457.1"	576	307.4	277.25
"PdomMRNA08458.1"	11858.2	7659.4	9073.5
"PdomMRNA08459.1"	171.8	131	113
"PdomMRNA08460.1"	3832.6	2551.4	2743.5
"PdomMRNA08461.1"	75.8	43.6	45.5
"PdomMRNA08462.1"	941.4	464.6	518.75
"PdomMRNA08466.1"	108.4	42	46.75
"PdomMRNA08468.1"	6701.6	2849.8	4269.5
"PdomMRNA08471.1"	858.8	539.6	437.25
"PdomMRNA08472.1"	88.6	41.4	53.25
"PdomMRNA08473.1"	1235.8	972.8	916.75
"PdomMRNA08475.1"	33.4	27.2	15.75
"PdomMRNA08476.1"	1559.8	979.8	1324
"PdomMRNA08478.1"	245.8	214	234.5
"PdomMRNA08479.1"	2077.4	1434.8	1402.25
"PdomMRNA08480.1"	2110	1479	1219.75
"PdomMRNA08481.1"	2530.6	1516.8	1638
"PdomMRNA08482.1"	2083.4	1699.2	1745.75
"PdomMRNA08485.1"	125.2	151.2	111.75
"PdomMRNA08486.1"	53.4	63.2	58.25
"PdomMRNA08488.1"	258.8	212.2	219
"PdomMRNA08489.1"	519	355	296.75
"PdomMRNA08490.1"	1830	1368	1466.5
"PdomMRNA08492.1"	11587	6054	5872
"PdomMRNA08493.1"	2644.2	1640.6	1925.25
"PdomMRNA08495.1"	2471.4	1969.4	1848.5
"PdomMRNA08496.1"	1115.8	836.8	801.5
"PdomMRNA08497.1"	349.8	140	201
"PdomMRNA08501.1"	1148.4	785	771.25
"PdomMRNA08502.1"	69.8	23.4	15.75
"PdomMRNA08503.1"	907.2	468.2	485.75
"PdomMRNA08504.1"	3566.6	1631	1527.5
"PdomMRNA08506.1"	5967.2	2516.8	3086.75
"PdomMRNA08508.1"	5599.8	3248.6	3373.5
"PdomMRNA08509.1"	2992.8	1832.4	2128.5
"PdomMRNA08511.1"	122.8	57.8	101
"PdomMRNA08514.1"	278.8	122.2	138.75
"PdomMRNA08515.1"	1292.2	766.2	744.25
"PdomMRNA08517.1"	245	210.2	186
"PdomMRNA08518.1"	713	405.8	366.75
"PdomMRNA08520.1"	470.4	362.2	360
"PdomMRNA08521.1"	652	357.8	410
"PdomMRNA08522.1"	566.6	367.2	324.5
"PdomMRNA08523.1"	639	343.4	406
"PdomMRNA08525.1"	4931.8	3240.2	3628
"PdomMRNA08526.1"	427	253.4	211.5
"PdomMRNA08527.1"	3386.8	2559	1965
"PdomMRNA08528.1"	1682	1210.2	1165.5
"PdomMRNA08529.1"	960.8	571.4	527.5
"PdomMRNA08530.1"	11675.4	6376.6	7262
"PdomMRNA08531.1"	1509.8	1066.8	1072
"PdomMRNA08532.1"	1607.8	750	1148.5
"PdomMRNA08533.1"	1388.2	1420	1326.5
"PdomMRNA08535.1"	1069.8	705.4	752.25
"PdomMRNA08536.1"	92.4	51	61.5
"PdomMRNA08538.1"	3902.8	2249.8	2685
"PdomMRNA08539.1"	722.4	412.6	421.5
"PdomMRNA08541.1"	1307.4	752.2	838
"PdomMRNA08543.1"	109.8	64	53.75
"PdomMRNA08544.1"	3036	1742.8	2011.75
"PdomMRNA08545.1"	619.2	451	390.25
"PdomMRNA08547.1"	3077.8	3092.2	3099.75
"PdomMRNA08548.1"	2334.2	1874	1725.5
"PdomMRNA08549.1"	1177.4	726.4	680
"PdomMRNA08550.1"	1036	672.8	666.75
"PdomMRNA08553.1"	334.2	198.6	162.25
"PdomMRNA08555.1"	562.8	394.8	370.5
"PdomMRNA08558.1"	1577.6	1108	1342.5
"PdomMRNA08559.1"	1785	1237.8	1200
"PdomMRNA08560.1"	4597	3181.4	3798.5
"PdomMRNA08561.1"	84.6	54.4	54.5
"PdomMRNA08562.1"	5837.2	3980.6	4189.25
"PdomMRNA08563.1"	1398.6	912.6	900.5
"PdomMRNA08564.1"	78.8	33.2	1288.25
"PdomMRNA08565.1"	705.6	430.8	503.75
"PdomMRNA08566.1"	902.4	603.8	571.25
"PdomMRNA08567.1"	200	179.2	151.25
"PdomMRNA08569.1"	256.2	206.8	233.5
"PdomMRNA08570.1"	3245.6	2703	2923.25
"PdomMRNA08573.1"	1370.2	1050.2	1017
"PdomMRNA08574.1"	415.4	184.6	224.75
"PdomMRNA08575.1"	48.2	41.8	67.5
"PdomMRNA08576.1"	1980.4	1496	1468.5
"PdomMRNA08577.1"	2207	1360	1352.75
"PdomMRNA08578.1"	1972.6	1252.6	1113.25
"PdomMRNA08580.1"	171.2	97.2	100.5
"PdomMRNA08581.1"	665	416.6	435.25
"PdomMRNA08582.1"	807.8	486	459.5
"PdomMRNA08583.1"	196	156.4	184.25
"PdomMRNA08584.1"	2793.2	1813	1607.75
"PdomMRNA08586.1"	1979.2	1300	1138.25
"PdomMRNA08588.1"	92.2	67.2	75
"PdomMRNA08589.1"	544.6	484	533.25
"PdomMRNA08590.1"	465.2	373.6	348
"PdomMRNA08591.1"	3035.6	935	1170.75
"PdomMRNA08594.1"	83.2	20.6	35.5
"PdomMRNA08595.1"	691.8	581.2	626
"PdomMRNA08596.1"	264.2	187.4	186
"PdomMRNA08597.1"	497	362	378.25
"PdomMRNA08598.1"	1216.8	855.8	832.75
"PdomMRNA08599.1"	3301.6	1911	2075
"PdomMRNA08600.1"	1583.2	1084.6	1074.5
"PdomMRNA08601.1"	128.8	76.4	55
"PdomMRNA08602.1"	2501.6	1919	2084.5
"PdomMRNA08603.1"	615	449.4	429
"PdomMRNA08604.1"	2718.2	1999.6	1883.25
"PdomMRNA08605.1"	212.4	151.2	200.25
"PdomMRNA08606.1"	3650.8	1962.6	2297.25
"PdomMRNA08607.1"	943.8	845.6	988.5
"PdomMRNA08608.1"	3585	2173.8	2319.5
"PdomMRNA08609.1"	3254.8	2166	2288
"PdomMRNA08610.1"	8427	5105.8	4939.5
"PdomMRNA08612.1"	422.4	321.6	368
"PdomMRNA08613.1"	2455.2	1699.8	1854.75
"PdomMRNA08614.1"	101.8	84.6	84
"PdomMRNA08615.1"	3155.2	1848.6	2156.75
"PdomMRNA08616.1"	1711.2	1166	1315.75
"PdomMRNA08617.1"	37	52.4	70
"PdomMRNA08618.1"	2711	1477.8	1691.25
"PdomMRNA08619.1"	1840.2	1246.8	1266.75
"PdomMRNA08620.1"	1565.2	1103.8	1180
"PdomMRNA08621.1"	12677.4	10323.2	8937
"PdomMRNA08622.1"	505.4	458.4	413
"PdomMRNA08623.1"	1581.4	1323.6	1231
"PdomMRNA08624.1"	1215.4	932.8	953.25
"PdomMRNA08625.1"	2954.8	1829.2	1938.25
"PdomMRNA08626.1"	798	505.4	540.5
"PdomMRNA08627.1"	2760.2	1639.6	1611
"PdomMRNA08628.1"	3393.6	3225.4	3174.5
"PdomMRNA08630.1"	438.8	340.8	334.5
"PdomMRNA08631.1"	2485.4	1481.8	1576
"PdomMRNA08632.1"	408.2	350.2	302.25
"PdomMRNA08633.1"	994.2	630.8	636
"PdomMRNA08634.1"	1606.4	1047.2	1107.25
"PdomMRNA08635.1"	2560.2	1399.8	1753.25
"PdomMRNA08637.1"	4253.6	2730	3175
"PdomMRNA08639.1"	2574.6	1888.6	1937.25
"PdomMRNA08641.1"	1704.2	1150.4	1198.75
"PdomMRNA08642.1"	7499.8	4098.2	5143.25
"PdomMRNA08643.1"	2712.6	1596.4	1492.5
"PdomMRNA08646.1"	60.4	32.6	34.5
"PdomMRNA08647.1"	59	65.4	61.75
"PdomMRNA08648.1"	296.8	164.4	160.75
"PdomMRNA08649.1"	85	46.8	40.25
"PdomMRNA08650.1"	158	108	101.25
"PdomMRNA08652.1"	56	47	44.5
"PdomMRNA08654.1"	1124.6	766	952.75
"PdomMRNA08655.1"	304.2	214.4	179
"PdomMRNA08656.1"	1314	811.8	919.75
"PdomMRNA08657.1"	792.6	522.2	609
"PdomMRNA08658.1"	1389.4	878.4	1057.5
"PdomMRNA08659.1"	153.4	109	110
"PdomMRNA08661.1"	526.8	549.2	458.25
"PdomMRNA08662.1"	236.6	217.2	141.25
"PdomMRNA08663.1"	828.8	532.8	566
"PdomMRNA08664.1"	5943.2	4287.2	3743.25
"PdomMRNA08666.1"	1404.2	1126.8	943
"PdomMRNA08667.1"	1600.8	1268.2	1313.5
"PdomMRNA08668.1"	599.6	446	436.75
"PdomMRNA08669.1"	1843.6	822.8	854.25
"PdomMRNA08670.1"	302	198	236.25
"PdomMRNA08671.1"	183.6	87	100.5
"PdomMRNA08673.1"	40.6	28.6	37.25
"PdomMRNA08677.1"	458.6	343.8	372.5
"PdomMRNA08682.1"	3549.8	3223.8	3108
"PdomMRNA08683.1"	1147	757.4	664.25
"PdomMRNA08684.1"	1177	499.8	780.5
"PdomMRNA08685.1"	976	582.4	926
"PdomMRNA08686.1"	682.6	479.6	506.25
"PdomMRNA08687.1"	106	43.2	61
"PdomMRNA08688.1"	91.4	39.2	94.25
"PdomMRNA08689.1"	1623.2	1040.6	925.5
"PdomMRNA08690.1"	361.8	207.6	189.5
"PdomMRNA08692.1"	4991.2	2837.8	3441.75
"PdomMRNA08693.1"	12853	9477	9216.25
"PdomMRNA08694.1"	855.4	601.6	734.5
"PdomMRNA08695.1"	30.6	50.8	31
"PdomMRNA08698.1"	780.8	545.4	676.5
"PdomMRNA08699.1"	1325.6	1191	1098.25
"PdomMRNA08700.1"	4070.6	1873.8	2181.75
"PdomMRNA08703.1"	1031.4	816.4	777.25
"PdomMRNA08704.1"	198.6	189	163.25
"PdomMRNA08706.1"	2583	2025.6	1934
"PdomMRNA08708.1"	476	404.6	399.75
"PdomMRNA08709.1"	1707.8	1008.2	1037.5
"PdomMRNA08710.1"	1355.6	867.8	884.75
"PdomMRNA08711.1"	614.4	442.4	439.75
"PdomMRNA08712.1"	93.4	73.4	42
"PdomMRNA08713.1"	60	33	33
"PdomMRNA08717.1"	495	359.2	252.75
"PdomMRNA08722.1"	579.4	415.6	379
"PdomMRNA08723.1"	2045	1126	1142
"PdomMRNA08724.1"	2695.8	1517.2	1554.25
"PdomMRNA08725.1"	1404.6	1334.8	1120.25
"PdomMRNA08726.1"	328	229.4	224.25
"PdomMRNA08727.1"	2868	1753.4	1900
"PdomMRNA08728.1"	265	192.6	142
"PdomMRNA08729.1"	2517.2	2198.2	2154.75
"PdomMRNA08730.1"	3099.4	2877.4	2585
"PdomMRNA08731.1"	467.6	393.2	294
"PdomMRNA08732.1"	983.6	395	808.75
"PdomMRNA08733.1"	9425.6	7748.8	9576.5
"PdomMRNA08734.1"	2223.8	1783.4	1690.5
"PdomMRNA08735.1"	38.4	38.4	32.25
"PdomMRNA08737.1"	3709.6	2868.2	2745.25
"PdomMRNA08738.1"	179.2	147.2	143.25
"PdomMRNA08739.1"	913	584.2	656.75
"PdomMRNA08740.1"	4636.6	3239.8	2931.25
"PdomMRNA08741.1"	1747.2	1007.4	1397.75
"PdomMRNA08742.1"	2647.8	1853.4	1756.75
"PdomMRNA08743.1"	2522.6	1662.4	1752.5
"PdomMRNA08745.1"	39.6	49	38
"PdomMRNA08747.1"	2043.4	1350.6	1447.5
"PdomMRNA08748.1"	58	49.4	56.25
"PdomMRNA08749.1"	124.6	100.8	114.5
"PdomMRNA08751.1"	277.6	192.2	223.75
"PdomMRNA08752.1"	557.8	354.8	379.5
"PdomMRNA08753.1"	485	453.6	360
"PdomMRNA08754.1"	3042	1849	1886
"PdomMRNA08755.1"	239.2	214.4	213
"PdomMRNA08756.1"	4722	2544	2804.5
"PdomMRNA08757.1"	1683	1446.4	1196.5
"PdomMRNA08758.1"	3453.8	2160.4	2391.75
"PdomMRNA08759.1"	14954	10780.6	11397.75
"PdomMRNA08760.1"	8697.4	6088.8	6617.75
"PdomMRNA08761.1"	1502.6	875.8	1058
"PdomMRNA08764.1"	572.4	362.8	372.5
"PdomMRNA08765.1"	116	64.8	47.5
"PdomMRNA08766.1"	1629.4	1089.8	1125.75
"PdomMRNA08767.1"	2133	1539.2	1515
"PdomMRNA08768.1"	300.2	236.6	310.75
"PdomMRNA08770.1"	1074.2	771	607.25
"PdomMRNA08771.1"	2090.8	1658.6	1685.75
